idx,center_long,center_lat,long_1,long_2,lat_1,lat_2,roof_orientation,roof_shape,area,building,height,solar_area,energy_produced,radiance,tilt_angle
82,9.909163363433608,53.59085434151942,9.908346,9.9097997,53.5904198,53.5910917,nan,gabled,2306.4255438819528,industrial,nan,1037.8914947468788,209238.92534097077,1152.0,24.731768907367474
83,9.908718631608233,53.59045254246934,9.9081526,9.9093522,53.5902518,53.5906548,nan,nan,2247.05641207844,industrial,nan,1011.1753854352982,203852.9577037561,1152.0,24.731407288222407
84,9.909764332229912,53.59035290667657,9.9093803,9.9101538,53.5902459,53.5904551,nan,nan,711.8635679595172,yes,nan,320.33860558178276,64580.262885287404,1152.0,24.731317616008916
85,9.909265707112665,53.589731993703374,9.908734,9.9097974,53.589508,53.589956,nan,nan,2603.178306274116,yes,nan,1171.4302378233522,236160.33594518778,1152.0,24.730758794333035
86,9.90991218817786,53.58861834357069,9.9096789,9.910088,53.5883082,53.5888508,nan,nan,850.1238021925092,retail,nan,382.55571098662915,77123.23133490444,1152.0,24.729756509213622
87,9.907899088229131,53.58859339352861,9.9074508,9.9083813,53.5882859,53.5889209,nan,nan,4035.295154918917,industrial,nan,1815.8828197135126,366081.9764542441,1152.0,24.72973405417575
88,9.90751855,53.587935050000006,9.9073845,9.9076526,53.5876737,53.5881964,nan,nan,1018.972956221318,industrial,nan,458.5378302995931,92441.22658839797,1152.0,24.729141545000004
89,9.908456723023876,53.5870762636391,9.9077723,9.9092745,53.5864093,53.5875412,nan,nan,5592.331833712757,yes,nan,2516.5493251707408,507336.34395442135,1152.0,24.72836863727519
90,9.81759510157858,53.54203913959225,9.8164016,9.8188032,53.5409868,53.5430931,nan,nan,23188.648231573403,yes,nan,10434.891704208032,nan,nan,24.687835225633023
91,9.820420714773311,53.54059862085871,9.8194719,9.8213579,53.5400562,53.5411216,nan,nan,10066.070991292596,hangar,nan,4529.731946081668,nan,nan,24.68653875877284
92,9.835287305175594,53.54016315523597,9.833343,9.8376192,53.5384656,53.5414989,nan,nan,56579.42344039399,yes,nan,25460.7405481773,nan,nan,24.68614683971238
93,9.839517932241831,53.5407028507772,9.8383529,9.8406575,53.5403301,53.5410834,nan,nan,8887.828172565904,yes,nan,3999.5226776546565,806303.7718151787,1152.0,24.686632565699483
94,9.837928495051758,53.54343112375626,9.8369429,9.8388993,53.5429554,53.543915,nan,nan,10133.187016678974,industrial,nan,4559.934157505539,919282.7261531166,1152.0,24.689088011380633
95,9.835821784976693,53.54220977236196,9.8335621,9.8377479,53.5416472,53.5427076,nan,nan,21503.04374081572,yes,nan,9676.369683367075,nan,nan,24.68798879512576
96,9.83500726152401,53.54331474643069,9.8332964,9.8367681,53.5430549,53.5435805,nan,nan,10421.241411721334,yes,nan,4689.5586352746,nan,nan,24.68898327178762
97,9.843066210169496,53.54293791596983,9.8424223,9.8442061,53.5424284,53.5433152,nan,nan,3557.2897562645376,office,nan,1600.780390319042,322717.32668831886,1152.0,24.68864412437285
